Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Europe & Central Asia (IDA & IBRD countries),TEC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3924.4257635602,3814.90470871393,3464.2025342046,3241.58973278959,2879.03779213096,2829.71835194383,2793.15651401414,2693.93355515709,2631.80594800598,2638.35726576104,2662.25702550035,2675.14804286776,2706.76920836662,2812.65598597714,2844.16796314649,2852.99895788574,2950.80561687499,2983.65069231953,3019.1865067456,2793.81656094356,2972.64665933163,3085.94105647324,3098.61999469143,3028.46627415534,3058.7796819232,..,..,..,..,..,..,..
European Union,EUU,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1487.66476985918,1541.09612051515,1653.83877908938,1764.47884507164,1840.89653417596,1885.71037376475,1940.34091108312,2010.27127969889,2157.42074616732,2330.84575304653,2760.72448907197,2787.66101953174,2905.67774872642,3072.158997015,3032.45115047225,2968.83639847394,3165.98428934014,3169.03708449413,3291.44679673963,3407.49436355405,3348.72837952223,3235.87256997636,3169.30175038869,3181.30705220859,3257.04873460932,3360.40402989127,3405.30457185933,3473.16401275393,3487.82131236839,3496.54069622614,3422.36958990094,3401.45471805076,3301.50312595243,3280.34247512621,3252.50675526776,3359.9035386291,3466.91242126514,3436.97523500879,3449.73697137422,3409.78076057636,3428.66112942267,3515.39167548827,3512.78617620988,3576.49118256818,3607.6867540421,3605.8689383384,3618.55789080246,3554.91392461747,3533.83642479756,3321.34073670571,3448.0235998075,3335.59201694285,3288.24727944879,3242.63919551927,3123.59565570034,3278.35207782641,..,..,..,..,..,..
Fragile and conflict affected situations,FCS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,536.854496375159,531.380114074531,545.443977527724,561.231975467082,565.821923786107,574.999618736559,583.544929710225,595.998637910716,609.916543203184,625.437881385314,632.527210995932,634.913940664594,650.626409794767,644.246851383733,649.557321803611,649.329274214908,649.970601919317,647.853192353023,653.567672569852,1189.92719570006,1176.13003105444,1104.95428358886,1036.30259547496,980.879062941012,960.195509369525,932.464106779071,926.728111804312,882.995324952212,859.475957508121,843.058147469288,852.239891389973,856.452759303648,858.73391194481,854.807299722742,854.144595713789,844.408430141222,830.082871305687,836.044086913321,800.024146529227,848.152098316419,819.871092975187,818.675649816145,801.425084158508,724.597542066728,..,..,..,..,..,..,..
Heavily indebted poor countries (HIPC),HPC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,396.328720371543,395.513029952519,402.25108095761,399.667842665969,405.356887044446,408.624518316248,413.016332140151,409.328164862682,411.35194264543,413.246628921029,417.740705671959,425.182210683988,436.200864327882,440.92417142816,..,..,..,..,..,..,..,..
High income,HIC,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2761.77033689473,2799.7124780116,2918.22858159651,3069.53812212561,3175.60663282054,3260.61393040598,3386.58027594957,3528.93384411732,3715.71069332361,3925.17500729654,4252.99056894373,3928.13524705065,4081.38566346539,4267.38935436678,4171.94693514947,4047.5882799207,4274.40929061697,4344.57051542258,4450.39042045364,4526.66542045805,4390.20585992059,4253.18617428494,4125.89599034077,4117.44901567325,4244.91300578148,4307.24094916589,4329.11506964645,4447.39126417522,4565.48920583198,4613.63347718858,4532.37322663577,4546.55272781466,4563.79831673928,4598.56610014283,4649.82928518527,4728.06613738637,4840.73373081562,4850.30047107172,4843.49236697763,4898.62219807771,4977.74482558325,4956.59422626298,4970.52467770095,5004.56848617039,5076.42773551675,5062.50995250747,5047.36941237016,5046.00160636379,4973.4567757055,4735.19067119937,4886.96612923435,4769.07775803483,4729.11942616274,4714.96224744012,4680.63906707788,4605.41787513116,..,..,..,..,..,..
IBRD only,IBD,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,506.149775880134,516.18739189463,531.397546939874,540.29687536123,564.798093456834,579.374478315545,604.905666744121,631.439078160685,642.295317220421,644.955970109053,639.889513497488,651.66073981279,652.326326635224,668.252696954982,677.717850932402,689.452658789919,705.102515849991,717.919559258325,721.268012891191,1069.2553721231,1048.85244010542,1015.26946709344,1004.32744514673,978.146281489094,995.920983533826,1000.18051075208,995.525843960176,980.759843496141,989.523136264764,999.90783091731,1012.29728460841,1035.30250390749,1092.62133144785,1159.85442659832,1211.62603335283,1267.87214005469,1315.92331443531,1345.31086173099,1364.75196436674,1450.15637128086,1500.169212489,1536.05201288989,1551.9856541426,1576.03185566183,..,..,..,..,..,..,..
IDA & IBRD total,IBT,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,486.344725943788,494.704931138943,508.316843845005,516.15558254619,536.839854925039,549.504995500982,571.320948478672,593.564858357153,602.903792574478,605.110413123628,600.845659846645,611.184343398115,611.45447357436,624.27764471674,632.193759633515,641.651632290776,655.187154941571,665.773392652826,668.473141663038,971.374117004923,954.586248148564,924.025436841236,913.130655735363,889.222151093132,901.057043928315,904.477520220006,899.99690681236,888.041488363365,895.354322035892,900.409596470272,910.168362053879,928.499076506303,974.381341977552,1026.96702272218,1067.95977449088,1112.21650244763,1149.89446296709,1173.47877221516,1185.44250685994,1252.8938783301,1292.27804200832,1317.4836521571,1327.50441551752,1347.44486197128,..,..,..,..,..,..,..
IDA blend,IDB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,450.896958139578,452.936965683366,460.472534652544,464.591116954385,468.148469438144,472.541832283122,478.174419927591,481.661898198548,487.034590387333,494.12595905877,502.350404451506,509.891296637576,512.012973054692,505.143733542313,510.888911314838,509.933354729675,523.201813378208,525.136125001255,530.950456722742,666.064138180794,674.505875964518,668.742017469621,669.674328417888,652.042304936196,639.749796955908,648.185681735043,647.072780441764,653.720380761526,662.498768275927,659.536245421908,660.589909205703,661.352571209558,664.27411807133,667.538118420371,662.39163958743,661.685473131072,663.612300321433,659.115534306474,633.792377810695,640.9023243002,654.320480757197,660.79790564584,643.64663388283,579.721592877539,..,..,..,..,..,..,..
IDA only,IDX,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,327.261311994489,324.278222600443,327.244780457971,328.185372101733,325.551304252146,327.42374945668,327.676724224188,325.507334040727,326.558367721021,324.722593738626,322.582834654973,325.071365494013,323.75240439472,325.67209453273,324.93625006414,325.042605258194,324.276492492818,325.212896211976,324.372684418105,347.296280152938,344.581266343147,335.874166231465,327.18162824932,326.832753324663,328.910684726811,331.155219116414,333.904616086781,338.853000131142,341.813050573816,334.053806335885,338.802095020322,343.779983531998,345.985968715427,349.976829274482,358.128417001668,362.634516665536,367.309797859529,370.919419339106,371.625909348471,376.235413147594,378.957033837464,375.977463796295,381.260419410686,384.529989100921,..,..,..,..,..,..,..
IDA total,IDA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,373.219089520308,372.171813301214,376.939189321871,379.191760244019,379.024750711291,382.01617716978,384.48865053809,384.661090903123,387.549545173774,389.295426417194,391.275844983441,395.841398768491,395.972705549918,394.647266247692,396.541889616207,396.393753047124,401.217667691503,402.697658722987,404.549207528774,474.638059966135,476.919313915481,468.841609587966,463.857013716638,456.513862355308,451.166174539114,455.922587880738,457.30811793581,463.114575051339,468.534192091633,460.964164772796,464.365287910657,467.766922990602,470.311232691346,473.4803001274,476.562949872886,479.1694227918,482.93208603177,484.112242234838,474.786904727392,480.641867345673,487.872279246798,487.934462098485,484.639170081323,459.826094480463,..,..,..,..,..,..,..
Late-demographic dividend,LTE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,600.968997373405,615.634513089355,630.589829813355,636.170264194099,673.692620041108,690.06880262578,727.665876494128,772.022935348782,783.848177507049,780.259639872301,757.71669131993,767.619515613849,776.53980131931,800.97636951366,815.77293268144,834.049363403158,856.909154568811,877.59253138915,879.217115713145,1355.85371019308,1316.28982753383,1267.9859900561,1252.46262264599,1209.25250865076,1239.40122396737,1252.27627098812,1232.14355522572,1215.04029709099,1225.24171666936,1243.4217682181,1272.58559730275,1314.47882396434,1418.07849008101,1529.92475646689,1618.12920684487,1718.42723235649,1803.29954323021,1852.78582158148,1880.86990454336,2034.99422352651,2137.07176658336,2195.67248300785,2234.73154584207,2301.61401429882,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,..,..,..,..,..,..,..,..,..,..,823.18590356766,840.865300120464,881.020611691242,909.458434198985,909.301954451589,933.523102295687,958.475252241363,993.306752978516,1025.67505237237,1062.26240082034,1049.79567721326,1048.30582866265,1026.92467188214,1040.37291597315,1039.11674765065,1040.82391753913,1060.1104643922,1056.43566257433,1062.19491775696,1053.75034321167,1059.78868193532,1069.02591740587,1054.99925955296,1092.33533620229,1083.72536937661,1114.88279417286,1142.49659295682,1161.15889464129,1158.11478637202,1155.09246030151,1152.74842541839,1155.9960100768,1168.35636173067,1201.1184960274,1230.47162166435,1270.93383304955,1277.65402960414,1305.02585175148,1280.63119025459,1334.76852264745,1346.42447699143,1387.13089063517,1397.0265769263,1359.61651249073,..,..,..,..,..,..,..
